ax,ay,az,gx,gy,gz,slot,label
-0.0356,0.3911,-0.0889,88.354,74.634,138.841,1,10
-0.0322,0.3657,-0.0747,89.390,73.963,137.805,1,10
-0.0410,0.3418,-0.0703,90.122,73.171,137.134,1,10
-0.0298,0.3159,-0.0532,90.732,72.195,135.793,1,10
-0.0347,0.2974,-0.0391,90.793,71.159,134.878,1,10
-0.0356,0.2505,-0.0386,90.915,69.817,133.537,1,10
-0.0371,0.2192,-0.0308,90.305,68.476,132.012,1,10
-0.0298,0.1919,-0.0146,90.488,67.134,130.671,1,10
-0.0156,0.1479,-0.0083,90.244,65.793,128.841,1,10
-0.0229,0.1182,0.0073,89.573,64.390,126.951,1,10
-0.0088,0.0752,0.0186,89.146,63.293,124.878,1,10
0.0034,0.0483,0.0288,88.293,61.890,122.378,1,10
0.0127,0.0103,0.0391,87.256,60.915,119.939,1,10
0.0269,-0.0278,0.0386,86.220,60.000,117.439,1,10
0.0410,-0.0601,0.0498,84.512,58.780,115.000,1,10
0.0532,-0.0933,0.0576,83.171,58.049,111.890,1,10
0.1621,-0.2905,-0.1592,-26.037,9.878,-80.854,2,10
0.1738,-0.2876,-0.1729,-26.646,11.098,-78.659,2,10
0.1494,-0.3369,-0.1206,-20.061,5.427,-93.537,2,10
0.1670,-0.2754,-0.1729,-26.585,13.720,-74.146,2,10
0.1680,-0.2759,-0.1860,-26.890,14.207,-72.195,2,10
0.1670,-0.2705,-0.1855,-27.073,15.244,-69.817,2,10
0.1719,-0.2583,-0.1885,-27.378,15.915,-67.622,2,10
0.1704,-0.2598,-0.1855,-27.805,16.829,-65.671,2,10
0.1714,-0.2524,-0.1992,-28.354,17.500,-62.622,2,10
0.1714,-0.2476,-0.1924,-28.476,17.927,-61.890,2,10
0.1797,-0.2402,-0.1943,-29.268,18.354,-60.427,2,10
0.1855,-0.2334,-0.1992,-30.122,18.780,-58.780,2,10
0.1943,-0.2222,-0.1987,-30.305,19.390,-57.134,2,10
0.1997,-0.2129,-0.1992,-30.427,20.122,-55.732,2,10
0.2144,-0.2051,-0.2051,-30.610,20.488,-53.963,2,10
0.2295,-0.1904,-0.2051,-30.488,20.793,-52.317,2,10
0.2534,-0.1680,-0.2139,-29.878,20.976,-48.780,2,10
0.2759,-0.1543,-0.2036,-29.695,21.280,-46.098,2,10
0.2842,-0.1528,-0.2144,-29.573,21.159,-44.695,2,10
0.3013,-0.1377,-0.2192,-28.659,21.280,-41.524,2,10
0.3276,-0.1284,-0.2280,-26.220,21.159,-35.976,2,10
0.3408,-0.1172,-0.2305,-23.963,21.220,-32.134,2,10
0.3569,-0.1143,-0.2373,-22.622,21.220,-30.183,2,10
0.3774,-0.0947,-0.2437,-17.378,21.280,-23.841,2,10
0.3677,-0.4287,-0.1304,23.537,12.805,15.183,1,10
0.3911,-0.4453,-0.1377,22.378,10.549,10.549,1,10
0.4106,-0.4604,-0.1504,21.341,7.805,5.610,1,10
0.4238,-0.4756,-0.1626,21.829,5.549,0.793,1,10
0.4434,-0.4814,-0.1978,22.378,3.171,-4.329,1,10
0.4585,-0.4829,-0.2344,23.963,0.427,-9.085,1,10
0.4707,-0.4819,-0.2549,24.939,-2.317,-14.268,1,10
0.4922,-0.4731,-0.2544,25.488,-4.756,-18.841,1,10
0.5117,-0.4590,-0.2686,24.695,-7.439,-23.902,1,10
0.5176,-0.4546,-0.2808,23.171,-10.549,-28.659,1,10
0.5366,-0.4463,-0.2993,20.976,-14.390,-33.354,1,10
0.5474,-0.4390,-0.3198,18.659,-17.744,-38.476,1,10
0.5552,-0.4136,-0.3418,16.280,-21.341,-43.415,1,10
0.5586,-0.4063,-0.3628,13.902,-25.061,-48.537,1,10
0.5527,-0.3779,-0.3843,10.366,-29.390,-53.963,1,10
0.5425,-0.3535,-0.4033,5.671,-32.500,-59.207,1,10
0.5293,-0.3252,-0.4175,0.793,-36.037,-65.122,1,10
0.5161,-0.3018,-0.4302,-4.817,-39.390,-70.610,1,10
0.4941,-0.2793,-0.4458,-11.098,-41.829,-76.098,1,10
0.4839,-0.2534,-0.4844,-16.890,-44.451,-82.073,1,10
0.4478,-0.2212,-0.5059,-23.171,-46.402,-87.866,1,10
0.4419,-0.1919,-0.5322,-29.024,-48.293,-93.415,1,10
0.4165,-0.1563,-0.5752,-34.756,-49.390,-99.207,1,10
0.3994,-0.1069,-0.6255,-42.500,-51.098,-107.317,1,10
0.3848,-0.0698,-0.6724,-47.439,-51.280,-112.561,1,10
0.3770,-0.0347,-0.7036,-52.134,-52.317,-118.049,1,10
0.3682,0.0000,-0.7363,-57.012,-52.927,-123.110,1,10
0.3525,0.0308,-0.7593,-62.073,-54.329,-128.293,1,10
0.3491,0.0610,-0.7896,-66.829,-55.610,-134.146,1,10
0.3496,0.0884,-0.8350,-71.341,-57.866,-139.878,1,10
0.3452,0.1128,-0.8916,-74.878,-60.732,-145.610,1,10
0.3560,0.1284,-0.9541,-77.195,-63.049,-151.037,1,10
0.5562,-0.8535,-0.6758,28.232,11.159,68.049,2,10
0.5659,-0.8696,-0.6914,22.744,10.061,67.134,2,10
0.5786,-0.8872,-0.7266,18.110,9.085,65.793,2,10
